2019-09-03 12:52:20,131 DEBUG Training subset = ['age' 'fbs' 'ca'], Timing = 0.008007049560546875, Size (Kb) = 0.0546875
2019-09-03 12:52:20,140 DEBUG Training subset = ['age' 'fbs' 'thal'], Timing = 0.007006168365478516, Size (Kb) = 0.0546875
2019-09-03 12:52:20,140 DEBUG Training subset = ['age' 'fbs' 'thal'], Timing = 0.007006168365478516, Size (Kb) = 0.0546875
2019-09-03 12:52:20,149 DEBUG Training subset = ['age' 'restecg' 'thalach'], Timing = 0.009005546569824219, Size (Kb) = 0.0546875
2019-09-03 12:52:20,149 DEBUG Training subset = ['age' 'restecg' 'thalach'], Timing = 0.009005546569824219, Size (Kb) = 0.0546875
2019-09-03 12:52:20,157 DEBUG Training subset = ['age' 'restecg' 'exang'], Timing = 0.008007287979125977, Size (Kb) = 0.0546875
2019-09-03 12:52:20,157 DEBUG Training subset = ['age' 'restecg' 'exang'], Timing = 0.008007287979125977, Size (Kb) = 0.0546875
2019-09-03 12:52:20,167 DEBUG Training subset = ['age' 'restecg' 'oldpeak'], Timing = 0.009032964706420898, Size (Kb) = 0.0546875
2019-09-03 12:52:20,167 DEBUG Training subset = ['age' 'restecg' 'oldpeak'], Timing = 0.009032964706420898, Size (Kb) = 0.0546875
2019-09-03 12:52:20,175 DEBUG Training subset = ['age' 'restecg' 'slope'], Timing = 0.008005142211914062, Size (Kb) = 0.0546875
2019-09-03 12:52:20,175 DEBUG Training subset = ['age' 'restecg' 'slope'], Timing = 0.008005142211914062, Size (Kb) = 0.0546875
2019-09-03 12:52:20,184 DEBUG Training subset = ['age' 'restecg' 'ca'], Timing = 0.0070040225982666016, Size (Kb) = 0.0546875
2019-09-03 12:52:20,184 DEBUG Training subset = ['age' 'restecg' 'ca'], Timing = 0.0070040225982666016, Size (Kb) = 0.0546875
2019-09-03 12:52:20,192 DEBUG Training subset = ['age' 'restecg' 'thal'], Timing = 0.008005857467651367, Size (Kb) = 0.0546875
2019-09-03 12:52:20,192 DEBUG Training subset = ['age' 'restecg' 'thal'], Timing = 0.008005857467651367, Size (Kb) = 0.0546875
2019-09-03 12:52:20,201 DEBUG Training subset = ['age' 'thalach' 'exang'], Timing = 0.00900578498840332, Size (Kb) = 0.0546875
2019-09-03 12:52:20,201 DEBUG Training subset = ['age' 'thalach' 'exang'], Timing = 0.00900578498840332, Size (Kb) = 0.0546875
2019-09-03 12:52:20,211 DEBUG Training subset = ['age' 'thalach' 'oldpeak'], Timing = 0.00800466537475586, Size (Kb) = 0.0546875
2019-09-03 12:52:20,211 DEBUG Training subset = ['age' 'thalach' 'oldpeak'], Timing = 0.00800466537475586, Size (Kb) = 0.0546875
2019-09-03 12:52:20,223 DEBUG Training subset = ['age' 'thalach' 'slope'], Timing = 0.01098179817199707, Size (Kb) = 0.0546875
2019-09-03 12:52:20,223 DEBUG Training subset = ['age' 'thalach' 'slope'], Timing = 0.01098179817199707, Size (Kb) = 0.0546875
2019-09-03 12:52:20,234 DEBUG Training subset = ['age' 'thalach' 'ca'], Timing = 0.010005950927734375, Size (Kb) = 0.0546875
2019-09-03 12:52:20,234 DEBUG Training subset = ['age' 'thalach' 'ca'], Timing = 0.010005950927734375, Size (Kb) = 0.0546875
2019-09-03 12:52:20,244 DEBUG Training subset = ['age' 'thalach' 'thal'], Timing = 0.00902700424194336, Size (Kb) = 0.0546875
2019-09-03 12:52:20,244 DEBUG Training subset = ['age' 'thalach' 'thal'], Timing = 0.00902700424194336, Size (Kb) = 0.0546875
2019-09-03 12:52:20,253 DEBUG Training subset = ['age' 'exang' 'oldpeak'], Timing = 0.008005619049072266, Size (Kb) = 0.0546875
